budget,genres,homepage,id,keywords,original_language,overview,popularity,revenue,runtime,tagline,title,vote_average,vote_count,movie_id,cast,director,year,imdb_id,poster_path,num_critic_for_reviews,num_user_for_reviews,imdb_score,movie_facebook_likes
55000000,"['Comedy', 'Drama', 'Romance']",0,13,"['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,677945399,142,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927,13,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field']",['Robert Zemeckis'],1994,tt0109830,posters/poster_13.jpg,149,1398,8.8,59000
160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",http://inceptionmovie.warnerbros.com/,27205,"['loss of lover', 'dream', 'kidnapping', 'sleep', 'subconsciousness', 'heist', 'redemption', 'female hero']",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",167.58371,825532764,148,Your mind is the scene of the crime.,Inception,8.1,13752,27205,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe']",['Christopher Nolan'],2010,tt1375666,posters/poster_27205.jpg,642,2803,8.8,175000
93000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,120,"['elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'mountains', 'fireworks', 'castle', 'volcano', 'password', 'death of a friend', 'uncle', 'mirror', 'wizard', 'sword and sorcery']",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,871368364,178,One ring to rule them all,The Lord Of The Rings: The Fellowship Of The Ring,8.0,8705,120,"['Elijah Wood', 'Ian McKellen', 'Cate Blanchett', 'Orlando Bloom', 'Sean Bean']",['Peter Jackson'],2001,tt0120737,posters/poster_120.jpg,297,5060,8.8,21000
3300000,"['Drama', 'Crime']",http://cidadededeus.globo.com/,598,"['male nudity', 'street gang', 'brazilian', 'photographer', '1970s', 'puberty', 'ghetto', 'gang war', 'coming of age', 'woman director', '1980s']",pt,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",44.356711,30641770,130,"If you run you're dead... if you stay, you're dead again. Period.",City Of God,8.1,1814,598,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen']","['Fernando Meirelles', 'Kátia Lund']",2002,tt0317248,posters/poster_598.jpg,214,749,8.7,28000
3000000,['Drama'],0,510,"['individual', 'rebel', 'self-destruction', 'wheelchair', 'lunatic asylum', 'dying and death', 'rage and hate', 'freedom', 'insanity', 'basic rights and human rights', 'psychiatrist']",en,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",127.525581,108981275,133,"If he's crazy, what does that make you?",One Flew Over The Cuckoo'S Nest,8.2,2919,510,"['Jack Nicholson', 'Louise Fletcher', 'Danny DeVito', 'William Redfield', 'Scatman Crothers']",['Miloš Forman'],1975,tt0073486,posters/poster_510.jpg,149,760,8.7,32000
2000000,"['Action', 'Drama']",0,346,"['japan', 'samurai', 'peasant', 'looting', 'rice', 'fencing', 'village', 'moral ambiguity', 'battle', 'practice', '16th century']",ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",39.756748,271841,207,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,Seven Samurai,8.2,878,346,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba', 'Seiji Miyaguchi', 'Minoru Chiaki']",['Akira Kurosawa'],1954,tt0047478,posters/poster_346.jpg,153,596,8.7,11000
79000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,121,"['elves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'explosive', 'cave', 'fort', 'army', 'mission', 'attack', 'guide', 'wizard', 'ring', 'sword and sorcery']",en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,926287400,179,A New Power Is Rising.,The Lord Of The Rings: The Two Towers,8.0,7487,121,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Liv Tyler', 'Orlando Bloom']",['Peter Jackson'],2002,tt0167261,posters/poster_121.jpg,294,2417,8.7,10000
63000000,"['Action', 'Science Fiction']",http://www.warnerbros.com/matrix,603,"['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'fight', 'insurgence', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'woman director', 'messiah', 'gnosticism']",en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",104.309993,463517383,136,Welcome to the Real World.,The Matrix,7.9,8907,603,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Gloria Foster']","['Lilly Wachowski', 'Lana Wachowski']",1999,tt0133093,posters/poster_603.jpg,313,3646,8.7,25000
20000000,['Drama'],http://www.historyx.com/,73,"['usa', 'neo-nazi', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'neo nazism', 'xenophobia', 'interracial friendship', 'nazism', 'prison rape']",en,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",73.56723199999998,23875127,119,Some Legacies Must End.,American History X,8.2,3016,73,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Avery Brooks', 'Jennifer Lien']",['Tony Kaye'],1998,tt0120586,posters/poster_73.jpg,162,1420,8.6,35000
878000,"['Drama', 'Romance']",0,289,"['love triangle', 'corruption', 'spy', 'resistance', 'casablanca', 'emigration', 'visa', 'patriotism', 'nationalism', 'concentration camp', 'nazis', 'war', 'melodrama', 'film noir']",en,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",43.729123,10462500,102,They had a date with fate in Casablanca!,Casablanca,7.9,1422,289,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains', 'Conrad Veidt']",['Michael Curtiz'],1942,tt0034583,posters/poster_289.jpg,242,1123,8.6,23000
165000000,"['Adventure', 'Drama', 'Science Fiction']",http://www.interstellarmovie.net/,157336,"['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,675120017,169,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,157336,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway', 'Michael Caine', 'Casey Affleck']",['Christopher Nolan'],2014,tt0816692,posters/poster_157336.jpg,712,2725,8.6,349000
3180000,"['Drama', 'Family', 'Fantasy']",0,1585,"['holiday', 'angel', 'based on novel', 'bank', 'suicide attempt', 'small town', 'christmas tree', 'great depression', 'christmas eve', 'feel-good ending', 'guardian angel', 'christmas']",en,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.",42.868495,9644124,130,It's a wonderful laugh! It's a wonderful love!,It'S A Wonderful Life,8.0,1076,1585,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers']",['Frank Capra'],1946,tt0038650,posters/poster_1585.jpg,206,706,8.6,41000
1,"['Drama', 'Comedy']",0,3082,"['factory', 'ambulance', 'invention', 'tramp', 'great depression', 'industrial revolution', 'slapstick', 'machine', 'pardon', 'guilty']",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,28.27648,8500000,87,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",Modern Times,8.1,856,3082,"['Charlie Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin']",['Charlie Chaplin'],1936,tt0027977,posters/poster_3082.jpg,120,211,8.6,0
5000000,['Western'],0,335,"['showdown', 'bounty', 'bounty hunter', 'loss of brother', 'sadness', 'blackmail', 'harmonica', 'anti hero', 'auction', 'dying and death', 'peasant', 'insanity', 'spaghetti western']",it,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,5321508,175,There were three men in her life. One to take her... one to love her... and one to kill her.,Once Upon A Time In The West,8.1,1128,335,"['Henry Fonda', 'Claudia Cardinale', 'Jason Robards', 'Charles Bronson', 'Gabriele Ferzetti']",['Sergio Leone'],1968,tt0064116,posters/poster_335.jpg,164,565,8.6,10000
70000000,"['Drama', 'History', 'War']",0,857,"['war crimes', 'self sacrifice', 'war veteran', 'world war ii', 'war ship', 'airplane', 'bravery', 'normandy', 'parachute', 'troops', 'waffen ss', 'omaha beach', 'army', 'cowardice', 'american flag', 'war memorial', 'deserted town', 'military', '1940s']",en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.04186700000002,481840909,169,The mission is a man.,Saving Private Ryan,7.9,5048,857,"['Tom Hanks', 'Matt Damon', 'Vin Diesel', 'Tom Sizemore', 'Barry Pepper']",['Steven Spielberg'],1998,tt0120815,posters/poster_857.jpg,219,2277,8.6,22000
33000000,"['Crime', 'Mystery', 'Thriller']",http://www.sevenmovie.com/,807,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']",en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",79.579532,327311859,127,Seven deadly sins. Seven ways to die.,Se7En,8.1,5765,807,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey']",['David Fincher'],1995,tt0114369,posters/poster_807.jpg,216,1080,8.6,39000
15000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",http://movies.disney.com/spirited-away,129,"['witch', 'parents kids relationship', 'magic', 'twilight', 'darkness', 'village and town', 'bath house', 'pig', 'ghost world', 'biology', 'train', 'amusement park', 'yokai', 'japanese mythology', 'anime']",ja,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,118.968562,274925095,125,The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3840,129,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Takashi Naito', 'Yasuko Sawaguchi']",['Hayao Miyazaki'],2001,tt0245429,posters/poster_129.jpg,246,902,8.6,28000
19000000,"['Crime', 'Drama', 'Thriller']",0,274,"['based on novel', 'psychopath', 'horror', 'suspense', 'serial killer', 'psychological thriller', 'cannibal', 'fbi agent', 'animal in cast credits', 'cannibalism']",en,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",18.174804,272742922,119,To enter the mind of a killer she must challenge the mind of a madman.,The Silence Of The Lambs,8.1,4443,274,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald']",['Jonathan Demme'],1991,tt0102926,posters/poster_274.jpg,185,916,8.6,40000
6000000,"['Drama', 'Crime', 'Thriller']",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']",en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",64.02503100000001,23341568,106,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3254,629,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite']",['Bryan Singer'],1995,tt0114814,posters/poster_629.jpg,162,1182,8.6,28000
4500000,"['Thriller', 'Action', 'Drama', 'History']",0,375290,"['evacuation', 'war', 'based on true story', 'iraq war']",hi,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",2.551559,32000000,126,"170,000 Refugees, 488 Flights, 59 Days, 1 Man",Airlift,7.3,57,375290,"['Akshay Kumar', 'Nimrat Kaur', 'Feryna Wazheir', 'Lena', 'Purab Kohli']",['Raja Menon'],2016,tt4387040,posters/poster_375290.jpg,39,178,8.5,10000
11000000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",https://www.facebook.com/alienanthology/,348,"['android', 'countdown', 'space marine', 'space suit', 'beheading', 'dystopia', 'biology', 'cowardice', 'spaceship', 'space', 'alien', 'female protagonist', 'outer space', 'parasite', 'h. r. giger', 'xenomorph']",en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",94.184658,104931801,117,In space no one can hear you scream.,Alien,7.9,4470,348,"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright', 'Harry Dean Stanton', 'John Hurt']",['Ridley Scott'],1979,tt0078748,posters/poster_348.jpg,392,1110,8.5,23000
31500000,"['Drama', 'War']",http://www.apocalypsenow.com,28,"['guerrilla', 'river', 'vietnam', 'vietcong', 'cambodia', 'army', 'insanity', 'tribe', 'green beret', 'jungle', 'apocalypse', 'death', 'napalm']",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",49.973462,89460381,153,This is the end...,Apocalypse Now,8.0,2055,28,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms']",['Francis Ford Coppola'],1979,tt0078788,posters/poster_28.jpg,261,983,8.5,19000
19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",http://www.backtothefuture.com/movies/backtothefuture1,105,"['clock tower', 'car race', 'terrorist', 'delorean', 'lightning', 'guitar', 'plutonium', 'sports car', 'inventor', 'journey in the past', 'time travel', 'race against time', 'partner', 'misfit', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'odd couple', 'escapade', 'disorder', 'chases and races', 'love and romance', 'teenage life', 'misfit partners', 'changing the past or future', 'getting home', 'inventions and discoveries']",en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",76.60323299999997,381109762,116,He's the only kid ever to get into trouble before he was born.,Back To The Future,8.0,6079,105,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson']",['Robert Zemeckis'],1985,tt0088763,posters/poster_105.jpg,198,809,8.5,39000
100000000,"['Drama', 'Western']",http://unchainedmovie.com/,68718,"['bounty hunter', 'hero', 'plantation', 'society', 'friendship', 'friends', 'revenge', 'rivalry', 'rescue', 'shootout', 'racism', 'danger', 'dentist', 'django', 'dual role', 'aftercreditsstinger', 'odd couple', 'black slave', 'deadly', 'chases and races', '19th century']",en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",82.121691,425368238,165,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099,68718,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson']",['Quentin Tarantino'],2012,tt1853728,posters/poster_68718.jpg,765,1193,8.5,199000
1800000,"['Drama', 'Comedy', 'War']",0,935,"['usa president', 'general', 'cold war', 'strategic air command', 'nuclear missile', 'war room', 'bomber pilot', 'nuclear weapons', 'ex nazi', 'doomsday device', 'absurdism']",en,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",41.996783,9440272,95,The hot-line suspense comedy,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,8.0,1442,935,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn', 'Slim Pickens']",['Stanley Kubrick'],1964,tt0057012,posters/poster_935.jpg,192,839,8.5,18000
